idx,bucket,selection_reason,en,human_colloquial_ref,human_annotator_2,gold_verified,gold_status,audit_decision,gold_notes,teacher_modern,teacher_adequacy,teacher_register,full,full_adequacy,full_register,lora,lora_adequacy,lora_register,adapter_ia3,adapter_adequacy,adapter_register,baseline_zeroshot,baseline_adequacy,baseline_register,draft_note,review_note
4,adequacy_risk,LoRA is code-mixed but word order is weak; full is a clean command.,See the map,padathe paaru,map paaru,map-a paaru,gold_needs_edit,data_quality_caveat,,Map-a pāruṅka,1,1,Map-a pāru,1,1,Map see,0,0,varaipaṭam pārkka,0,0,kāṇum varaipaṭam,0,0,Good example for register not guaranteeing adequacy.,
6,style_difference,Full chooses Tamil-dominant colloquial; LoRA matches English borrowing.,He disappeared in 1997.,ivaru 1997le seththu poyittaar,ivuru 1997le yerandhutaru,ivaru 1997le seththu poyittaar,source_issue,exclude_from_adequacy,source_ambiguity,avaru 1997-la disappear āyiṭṭāru.,1,1,avaru 1997-la kāṇāma pōyiṭṭāru.,1,1,avaru 1997-la disappear āyiṭṭāru.,1,1,ivar 1997 il maṟaintār.,0,0,ivar 1997 il maṟaintār.,1,0,Strong slide example for modernity/style split.,
7,unclear_fragment,Fragmentary English; several plausible renderings.,For example.,eduththukaatta sollalaam,eduththukaatta sollalaam,eduththukaattaga,gold_needs_edit,keep,,Example-kku.,1,1,Example-kku.,1,1,eṭuttukkāṭṭā.,0,1,"eṭuttukkāṭṭāka,",1,?,"eṭuttukkāṭṭāka,",1,?,"Use as a data-quality caveat, not a scored adequacy example.",
21,success,LoRA/full adopt colloquial light-verb construction; baselines stay literary.,Ramachandran founded the party.,raamachandhren indhe katchiye aarambichaaru,ramachandhren idhe katchiye aarambichaaru,Ramachandran andha party-a found pannaaru,gold_needs_edit,keep,,Ramachandran tāṉ anta party-a start paṇṇāru.,1,1,Ramachandran tāṉ party-a found paṇṇāru.,1,1,Ramachandran party-a found paṇṇāru.,0,1,rāmaccantiraṉ kaṭciyai niṟuviṉār.,1,0,rāmaccantiraṉ kaṭciyai niṟuviṉār.,1,0,Best all-around qualitative success example.,
26,literary_failure,Adapter/baseline are formal; LoRA looks less colloquial than full.,He did not know this.,idhu avarukku theriyale,idhu avaruku theriyadhu,idhu avarukku theriyadhu,gold_needs_edit,keep,,avarukku itellām teriyātu.,0,1,avarukku itat teriyātu.,1,1,avaru itai aṟiyāru.,1,?,itai avar aṟiyavillai.,0,0,itaṉai avar aṟiyavillai.,0,0,"Shows register is gradient, not just right/wrong.",word order changed
37,success,Full/LoRA capture colloquial negation; zero-shot mistranslates.,He will not eat too.,avanum saapdemaataan,avanum saapdemaataan,avanum saapdemaataan,ok,keep,,avaru rompa cāppiṭa māṭṭāru.,0,1,avaru kūṭa cāppiṭa māṭṭēṅkaṟāru.,1,1,avaru kūṭa cāppiṭa māṭṭāru.,1,1,avaṉum cāppiṭamāṭṭāṉ.,1,1,avaṉum uṇavaḷikka māṭṭāṉ.,0,0,Teacher may miss the 'also' nuance; verify before citing.,
45,adequacy_risk,LoRA changes meaning toward an imperative; baseline hallucinates songs.,The trio is shown in the picture.,padathula 3D kaattapattirukku,padathula 3D effect irukku,andha moonu perum picture-la irukkanga,source_issue,exclude_from_adequacy,source_mistranslation,anta mūṇu pērum picture-la irukkāṅka.,1,1,anta trio picture-la kāṭṭirukkāṅka.,1,1,anta trio picture-la kāṭṭaṇum.,0,1,ippaṭattil inta trio iṭam peṟṟuḷḷatu.,1,0,ittiraippaṭattil mūṉṟu pāṭalkaḷ iṭam peṟṟuḷḷaṉa.,0,0,Good adequacy-risk example for LoRA.,
50,adequacy_risk,Full appears to use wrong lexical item; zero-shot says egg.,The tail is also white.,vaalu vellaiye irukku,vaalum white-ah irruku,vaalu vellai-a irukku,gold_needs_edit,keep,,Tail-m white-ā irukkum.,0,1,vāyilyum white-ā irukku.,0,1,tail-m white-āyum irukku.,0,1,ivaṟṟiṉ vālkaḷum veṇmaiyāṉavai.,0,0,ivaṟṟiṉ muṭṭaiyum veṇmaiyāṉatu.,0,0,Strong example that colloquial-looking output can be wrong.,
68,success,Full/LoRA transfer colloquial plural and English noun borrowing.,There were three sisters.,moonu akka thangachingalum irundhaanga,moonu akka thangachi irundhaanga,moonu sisters irundhaanga,gold_needs_edit,keep,,mūṇu sisters iruntāṅka.,1,1,mūṇu sisters iruntāṅka.,1,1,mūṉṟu sisters iruntāṅka.,1,1,mūṉṟu cakōtarikaḷ iruntaṉar.,1,0,mūṉṟu cakōtarikaḷ iruntaṉar.,1,0,Simple success example.,
88,success,Full/teacher are strong; LoRA may shift possessive from their to your.,They refused to accept their opinion.,avanga karuththai oththukkalai,avanga karuththai oththukala,avanga karuththai oththukkalai,unclear,exclude_from_adequacy,,avaṅka avaṅka opinion-a accept paṇṇikka maṟuttuṭṭāṅka.,1,1,avaṅka avaṅka opinion-a accept paṇṇa maṟuttuṭṭāṅka.,1,1,avaṅka uṅka opinion-a accept paṇṟata refuse paṇṇāṅka.,?,1,avarkaḷ taṅkaḷ karuttai ēṟṟukkoḷḷa maṟuttaṉar.,1,0,avarkaḷ taṅkaḷ karuttai ēṟṟukkoḷḷa maṟuttaṉar.,1,0,Verify LoRA pronoun before using as a success.,
95,baseline_error,Baseline mistranslates brown as black; trained models preserve meaning.,The common color of the rats is brown.,eliyoda neram pazhuppu,eliyoda coloru brown,eliyoda coloru brown,gold_needs_edit,data_quality_caveat,,Rats-ōṭa common color brown.,1,1,Rats-ōṭa common color brown tāṉ.,1,1,Rats-ōṭa common color brown-ā irukku.,0,1,ivaṟṟiṉ potu niṟam brown ākum.,0,0,ivaṟṟiṉ potu niṟam karuppu ākum.,0,0,Good baseline adequacy failure.,
120,adequacy_risk,LoRA uses avaṅka for an inanimate center; full is cleaner.,There is the sun in its center.,adhode naduppaguthiyile sooriyan irukku,adhode centerle sooriyan irukku,adhoda center-la sooriyan irukku,gold_needs_edit,keep,,atōṭa center-la sun irukku.,1,1,atula center-la cūriyaṉ irukku.,1,1,avaṅka center-la sun irukku.,0,1,ataṉ maiyattil cūriyaṉ irukkiṟatu.,1,0,ataṉ maiyattil cūriyaṉ uḷḷatu.,1,0,Shows trained colloquial output can have semantic/pronominal error.,
127,baseline_error,Zero-shot mistranslates Mercury as shoe; trained outputs are adequate.,Mercury is a heavy metal.,paatharasam oru ganamana ulogam,paatharasam oru weight-aana metal,mercury oru heavy-aana metal,gold_needs_edit,keep,,Mercury-ṅkaṟatu oru heavy metal.,1,1,Mercury-ṅkaṟatu oru heavy metal.,1,1,Mercury oru heavy metal.,1,1, Mercury oru kaṉaraka ulōkam.,1,?,ceruppu oru kaṉaraka ulōkamākum.,0,0,Clear semantic baseline failure.,
155,success,Full/LoRA preserve meaning with colloquial explain/try construction.,I try to explain as far as I know.,enakku therinjamaathiri vilakkame solren,enakku therinja maari vilakkama soldren,enakku therinja varaikkum naan explain panren,gold_needs_edit,keep,,eṉakkut teriñca varaikkum nāṉ explain paṇṟēṉ.,1,1,eṉakkut teriñca varaikkum nāṉ explain paṇṇa try paṇṟēṉ.,1,1,eṉakkut teriyum aḷaviṟku explain paṇṇa try paṇṇaṟēṉ.,1,1,eṉakkut terintavarai nāṉ viḷakka muyalkiṟēṉ.,1,0,eṉakkut terintavarai nāṉ viḷakka muyaṟcikkiṟēṉ.,1,0,Good broad success example.,
164,adequacy_risk,Full changes voice/person; baseline hallucinates film songs.,The number of heroes is listed here.,maaveerargaloda kanakku inge pattiyal potturukkaanga,maaveeratgaloda kanakku inge list-u pottrukkaanga,heroes-oda kanakku inge list pottrukkaanga,gold_needs_edit,keep,,Heroes-ōṭa number iṅka list paṇṇirukkāṅka.,1,1,heroes-ōṭa number iṅka list paṇṇirukkēṉ.,0,1,heroes-ōṭa number iṅka irukku.,1,1,nāyakikaḷiṉ eṇṇikkai iṅkē paṭṭiyaliṭappaṭṭuḷḷatu.,0,0,ittiraippaṭattiṉ pāṭalkaḷ iṅku paṭṭiyaliṭappaṭṭuḷḷaṉa.,0,0,Useful for adequacy limitations across conditions.,
170,style_difference,LoRA makes an active 'they launched' reading; full is passive/adequate.,Launched in 1908.,1908le thodangappattuchi,1908le start pannaanga,1908-la launch pannaanga,gold_needs_edit,keep,,1908-la launch āccu.,1,1,1908-la launch paṇṇappaṭṭatu.,1,0,1908-la launch paṇṇāṅka.,1,1,1908-l toṭaṅkappaṭṭatu.,1,0,1908 il niṟuvappaṭṭatu.,1,0,Verify whether LoRA active voice is acceptable.,
188,success,Full/LoRA produce clear colloquial/code-mixed earthquake sentence.,The biggest earthquake occurred in the depths.,azhaththule periye nelanadukkam nadandhuchi,azhaththule periye nelanadukkam vandhuchu,azhaththule periye nelanadukkam nadandhuchi,source_issue,exclude_from_adequacy,,Deepest-ā irukkaṟa iṭattula tāṉ biggest earthquake vanturukku.,1,1,rompa deep-la tāṉ biggest earthquake naṭantuccu.,1,1,mikap periya earthquake deeps-la tāṉ naṭantatu.,0,1,mikap periya nilanaṭukkam āḻaṅkaḷilēyē naṭantatu.,1,0,mikapperiya nilanaṭukkam āḻaṅkaḷil ēṟpaṭṭatu.,1,0,"Good success, though English source is awkward.",
294,adequacy_risk,Full drops release event; baseline changes date/event.,"He was released on December 20,1924.","december 20, 1924le viduthale senjaanga","december 20, 1924le viduthale senjaanga","december 20, 1924-la avaru release aanaru",gold_needs_edit,keep,,"avaru December 20, 1924-la release āṉāru.",1,1,"avaru December 20,1924.",0,?,"avaru December 20,1924-la release paṇṇāru.",0,1,"ivar ṭicampar 20, 1924 aṉṟu viṭutalai ceyyappaṭṭār.",1,0,"ivar navampar 20, 1924 aṉṟu piṟantār.",0,0,Strong adequacy contrast between full and LoRA.,
396,success,All preserve meaning; full/LoRA are more colloquial/code-mixed.,"There are over 10,000 Tamils ​​living here.","inge 10,000kku mele thamizhanga irukkaanga","inge 10,000kku mele thamizh makkal vazhdraanga","inge 10,000-ku mele thamizh makkal vazhdraanga",gold_needs_edit,keep,,"iṅka 10,000-kkum mēla Tamils irukkāṅka.",1,1,"iṅka vāḻuṟa Tamils-ā over 10,000.",1,1,"iṅka 10,000 Tamils ā irukkaṟatu.",0,1,"iṅku 10,000 tamiḻarkaḷ vāḻkiṉṟaṉar.",1,0,"iṅku 10,000kkum mēṟpaṭṭa tamiḻarkaḷ vāḻkiṉṟaṉar.",1,0,Clean contrast of register with adequate semantics.,
478,data_quality,English/source has odd 'plaintiff'; outputs inherit likely source noise.,"Before the last song, the plaintiff would thank the audience.",kadaisi paattukku munnaale vaaththiyaaru paarkkaravangalukku nandri solvaaru,kadaisi paattukku munnadi teacher allarkkum thanks solvaaru,kadaisi paattukku munnadi plaintiff audience-ku thanks solvaaru,gold_needs_edit,keep,source_mistranslation,"Last song-kku muṉṉāṭi, plaintiff audience-kku thanks colluvāṅka.",1,1,"Last song-kku muṉṉāṭi, plaintiff audience-kku thanks colluvāru.",1,1,"Last song-kku muṉṉāṭi, plaintiff audience-kku naṉṟi colluvār.",1,?,"kaṭaici pāṭalukku muṉpāka, vāṭikkaiyāḷar naṉṟi celuttuvār.",0,0,"kaṭaicip pāṭalukku muṉpāka, vāṭikkaiyāḷar pārvaiyāḷarkaḷukku naṉṟi celuttuvār.",?,0,Use only as data-quality example.,
